scene,active,interactable,hierarchy,center,size,persistentEvents,invalidEvents,callbacks,behaviours,openTargets
Zhu,True,True,"Canvas/RawImage 1/RawImage/Button 12","(495.6, 390.4)","(24.9, 29.3)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,True,True,"Canvas/RawImage 1/RawImage/Button 13","(154.2, 390.2)","(30.2, 40.1)",1,0,"Kaiqi.Click","Image;Button;Kaiqi;ButtonSound","Canvas/RawImage 1/RawImage/RawImage 1"
Zhu,True,True,"Canvas/RawImage 1/RawImage/Button 2","(295.3, 192.1)","(102.1, 287.4)",1,0,"Ziyou.GoNextScene","Image;Button;ButtonSound;Ziyou",""
Zhu,True,True,"Canvas/RawImage 1/RawImage/Button 3","(197.3, 388.2)","(63.7, 35.5)",1,0,"Kaiqi.Click","Image;Button;Kaiqi;ButtonSound","Canvas/RawImage 1/RawImage/RawImage 4"
Zhu,True,True,"Canvas/RawImage 1/RawImage/Button 4","(247.1, 388.1)","(41.4, 35.1)",1,0,"Kaiqi.Click","Image;Button;Kaiqi;ButtonSound","Canvas/RawImage 1/RawImage/RawImage 5"
Zhu,True,True,"Canvas/RawImage 1/RawImage/Button 5","(128.5, 390.2)","(30.3, 40.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,True,True,"Canvas/RawImage 1/RawImage/Button 6","(331.4, 388.1)","(42.0, 35.1)",1,0,"Kaiqi.Click","Image;Button;Kaiqi;ButtonSound","Canvas/RawImage 1/RawImage/RawImage 3"
Zhu,True,True,"Canvas/RawImage 1/RawImage/Button 7","(288.9, 388.1)","(41.5, 35.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,True,True,"Canvas/RawImage 1/RawImage/Button 8","(475.6, 390.4)","(24.8, 29.3)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,True,True,"Canvas/RawImage 1/RawImage/Button 9","(372.1, 388.1)","(42.2, 35.1)",1,0,"Kaiqi.Click","Image;Button;ButtonSound;Kaiqi","Canvas/RawImage 1/RawImage/RawImage 10"
Zhu,True,True,"Canvas/RawImage 1/RawImage/Button.","(389.0, 192.1)","(105.8, 287.4)",1,0,"Tianti.GoNextScene","Image;Button;ButtonSound;Tianti",""
Zhu,True,True,"Canvas/RawImage 1/RawImage/Button00","(455.5, 390.4)","(25.1, 29.3)",2,0,"Kaiqi.Click;guanbi.Click","Image;Button;ButtonSound;Kaiqi;guanbi","Canvas/RawImage 1/RawImage/RawImage 8"
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 1/129","(321.3, 239.1)","(550.5, 468.4)",0,0,"","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 1/Button 1","(442.3, 98.7)","(57.2, 22.2)",1,0,"Zhu.GoNextScene","Image;Button;Zhu;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 1/Button 2","(393.9, 98.7)","(56.8, 22.2)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 1/Button 3","(446.4, 374.8)","(47.1, 23.6)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 1/Button 4","(446.4, 354.1)","(47.1, 23.3)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 10/128","(321.3, 239.1)","(550.5, 468.4)",0,0,"","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 10/Button111","(482.1, 398.3)","(28.5, 26.2)",2,0,"guanbi.Click;AudioSource.Play","Image;Button;ButtonSound;guanbi",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 10/Button111","(227.3, 396.5)","(62.8, 33.7)",2,0,"Kaiqi.Click;guanbi.Click","Image;Button;ButtonSound;guanbi;Kaiqi","Canvas/RawImage 1/RawImage/RawImage 9"
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 2/130","(321.3, 239.1)","(550.5, 468.4)",0,0,"","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 2/Button 1","(443.1, 98.7)","(57.2, 22.2)",1,0,"Zhu.GoNextScene","Image;Button;ButtonSound;Zhu",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 2/Button 2","(394.7, 98.7)","(56.8, 22.2)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 2/Button 3","(345.8, 98.7)","(56.7, 22.2)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 3/129","(321.3, 239.1)","(550.5, 468.4)",0,0,"","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 3/Button 1","(465.3, 382.7)","(25.7, 21.7)",1,0,"Zhu.GoNextScene","Image;Button;ButtonSound;Zhu",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 4/128","(321.3, 239.1)","(550.5, 468.4)",0,0,"","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 4/Button 1","(442.3, 98.9)","(57.1, 23.0)",1,0,"Zhu.GoNextScene","Image;Button;Zhu;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/127","(321.3, 239.1)","(550.5, 468.4)",0,0,"","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 1","(455.5, 389.8)","(24.8, 29.1)",1,0,"Zhu.GoNextScene","Image;Button;ButtonSound;Zhu",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 10","(331.4, 388.1)","(42.0, 35.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 13","(372.1, 388.1)","(42.2, 35.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 14","(197.3, 388.2)","(63.7, 35.5)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 16","(154.2, 390.2)","(30.2, 40.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 17","(515.2, 390.4)","(25.2, 29.3)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 18","(475.6, 390.4)","(24.8, 29.3)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 19","(288.9, 388.1)","(41.5, 35.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 2","(308.4, 348.1)","(24.5, 17.6)",2,0,"guanbi.Click;Kaiqi.Click","Image;Button;Kaiqi;guanbi;ButtonSound","Canvas/RawImage 1/RawImage/RawImage 6"
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 20","(495.6, 390.4)","(24.9, 29.3)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 21","(128.5, 390.2)","(30.3, 40.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 3","(364.9, 348.2)","(24.5, 17.4)",2,0,"guanbi.Click;Kaiqi.Click","Image;Button;Kaiqi;guanbi;ButtonSound","Canvas/RawImage 1/RawImage/RawImage 7"
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 4","(314.2, 271.5)","(52.2, 17.4)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 5","(499.7, 88.0)","(65.6, 32.6)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/126","(321.3, 239.1)","(550.5, 468.4)",0,0,"","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 1","(455.5, 389.8)","(24.8, 29.1)",1,0,"Zhu.GoNextScene","Image;Button;Zhu;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 11","(331.4, 388.1)","(42.0, 35.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 15","(197.3, 388.2)","(63.7, 35.5)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 2","(308.4, 348.1)","(24.5, 17.6)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 22","(288.9, 388.1)","(41.5, 35.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 22","(154.2, 390.2)","(30.2, 40.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 24","(372.1, 388.1)","(42.2, 35.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 25","(475.6, 390.4)","(24.8, 29.3)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 26","(495.6, 390.4)","(24.9, 29.3)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 27","(128.5, 390.2)","(30.3, 40.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 28","(515.2, 390.4)","(25.2, 29.3)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 3","(364.9, 348.2)","(24.5, 17.4)",2,0,"guanbi.Click;Kaiqi.Click","Image;Button;guanbi;Kaiqi;ButtonSound","Canvas/RawImage 1/RawImage/RawImage 7"
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 4","(314.2, 271.5)","(52.2, 17.4)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 5","(282.7, 348.2)","(24.4, 17.4)",2,0,"Kaiqi.Click;guanbi.Click","Image;Button;Kaiqi;guanbi;ButtonSound","Canvas/RawImage 1/RawImage/RawImage 5"
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 6/Button 6","(499.4, 88.3)","(65.7, 34.8)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/125","(321.3, 239.1)","(550.5, 468.4)",0,0,"","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 1","(455.5, 389.9)","(24.5, 29.8)",1,0,"Zhu.GoNextScene","Image;Button;Zhu;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 10","(331.4, 388.1)","(42.0, 35.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 13","(372.1, 388.1)","(42.2, 35.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 15","(197.3, 388.2)","(63.7, 35.5)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 16","(154.2, 390.2)","(30.2, 40.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 17","(515.2, 390.4)","(25.2, 29.3)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 18","(475.6, 390.4)","(24.8, 29.3)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 19","(288.9, 388.1)","(41.5, 35.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 2","(308.4, 348.1)","(24.5, 17.6)",2,0,"guanbi.Click;Kaiqi.Click","Image;Button;Kaiqi;guanbi;ButtonSound","Canvas/RawImage 1/RawImage/RawImage 6"
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 20","(495.6, 390.4)","(24.9, 29.3)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 21","(128.5, 390.2)","(30.3, 40.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 3","(364.9, 348.2)","(24.5, 17.4)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 4","(325.1, 271.5)","(25.5, 17.4)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 5","(282.7, 348.2)","(24.4, 17.4)",2,0,"Kaiqi.Click;guanbi.Click","Image;Button;Kaiqi;guanbi;ButtonSound","Canvas/RawImage 1/RawImage/RawImage 5"
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 7","(499.4, 88.3)","(65.7, 34.8)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 7/Button 8","(417.4, 271.5)","(25.4, 17.4)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 8/124","(321.3, 239.1)","(550.5, 468.4)",0,0,"","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 8/Button 15","(364.7, 153.6)","(57.8, 23.5)",2,0,"Kaiqi.Click;guanbi.Click","Image;Button;ButtonSound;Kaiqi;guanbi","Audio Source"
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 8/Button 16","(285.1, 153.6)","(56.4, 23.5)",1,0,"Quit.Click","Image;Button;ButtonSound;Quit",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 9/128","(321.3, 239.1)","(550.5, 468.4)",0,0,"","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 9/Button111","(482.1, 398.3)","(28.5, 26.2)",2,0,"guanbi.Click;AudioSource.Play","Image;Button;ButtonSound;guanbi",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 9/Button111","(321.3, 169.5)","(64.0, 30.0)",2,0,"DHM.OnButton;AudioSource.Play","Image;Button;DHM;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 9/Button111","(175.9, 396.1)","(64.3, 34.7)",2,0,"Kaiqi.Click;guanbi.Click","Image;Button;ButtonSound;guanbi;Kaiqi","Canvas/RawImage 1/RawImage/RawImage 10"
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 9/RawImage/Button","(321.3, 239.1)","(550.5, 468.4)",0,0,"","Image;Button;ButtonSound",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 9/RawImage/Button 1","(285.2, 153.8)","(59.1, 24.9)",2,0,"OGD.GoNextScene;AudioSource.Play","Image;Button;ButtonSound;OGD",""
Zhu,False,True,"Canvas/RawImage 1/RawImage/RawImage 9/RawImage/Button 2","(364.3, 153.8)","(58.3, 24.9)",2,0,"AudioSource.Play;guanbi.Click","Image;Button;ButtonSound;guanbi",""
Ziyou1,True,True,"Canvas/RawImage 1/RawImage/123","(321.3, 239.1)","(550.5, 468.4)",0,0,"","Image;Button;ButtonSound",""
Ziyou1,True,True,"Canvas/RawImage 1/RawImage/Button 1","(438.6, 194.8)","(67.0, 32.0)",1,0,"Chuangjian.GoNextScene","Image;Button;ButtonSound;Chuangjian",""
Ziyou1,True,True,"Canvas/RawImage 1/RawImage/Button 11","(515.2, 390.4)","(25.2, 29.3)",1,0,"Kaiqi.Click","Image;Button;Kaiqi;ButtonSound","Canvas/RawImage 1/RawImage/RawImage 2"
Ziyou1,True,True,"Canvas/RawImage 1/RawImage/Button 12","(495.6, 390.4)","(24.9, 29.3)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,True,True,"Canvas/RawImage 1/RawImage/Button 13","(154.2, 390.2)","(30.2, 40.1)",1,0,"Kaiqi.Click","Image;Button;Kaiqi;ButtonSound","Canvas/RawImage 1/RawImage/RawImage 1"
Ziyou1,True,True,"Canvas/RawImage 1/RawImage/Button 2","(276.6, 194.8)","(65.0, 32.0)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,True,True,"Canvas/RawImage 1/RawImage/Button 3","(197.3, 388.2)","(63.7, 35.5)",1,0,"Kaiqi.Click","Image;Button;Kaiqi;ButtonSound","Canvas/RawImage 1/RawImage/RawImage 4"
Ziyou1,True,True,"Canvas/RawImage 1/RawImage/Button 4","(247.1, 388.1)","(41.4, 35.1)",1,0,"Kaiqi.Click","Image;Button;Kaiqi;ButtonSound","Canvas/RawImage 1/RawImage/RawImage 5"
Ziyou1,True,True,"Canvas/RawImage 1/RawImage/Button 5","(128.5, 390.2)","(30.3, 40.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,True,True,"Canvas/RawImage 1/RawImage/Button 6","(331.4, 388.1)","(42.0, 35.1)",1,0,"Kaiqi.Click","Image;Button;Kaiqi;ButtonSound","Canvas/RawImage 1/RawImage/RawImage 3"
Ziyou1,True,True,"Canvas/RawImage 1/RawImage/Button 7","(288.9, 388.1)","(41.5, 35.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,True,True,"Canvas/RawImage 1/RawImage/Button 8","(475.6, 390.4)","(24.8, 29.3)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,True,True,"Canvas/RawImage 1/RawImage/Button 9","(372.1, 388.1)","(42.2, 35.1)",1,0,"Kaiqi.Click","Image;Button;ButtonSound;Kaiqi","Canvas/RawImage 1/RawImage/RawImage 10"
Ziyou1,True,True,"Canvas/RawImage 1/RawImage/Button.","(498.7, 194.8)","(65.9, 32.0)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,True,True,"Canvas/RawImage 1/RawImage/Button000","(455.5, 390.4)","(25.1, 29.3)",1,0,"Ziyou.GoNextScene","Image;Button;ButtonSound;Ziyou",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 1/124","(321.3, 239.1)","(550.5, 468.4)",0,0,"","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 1/Button 1","(442.3, 98.7)","(57.2, 22.2)",1,0,"Ziyou1.GoNextScene","Image;Button;ButtonSound;Ziyou1",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 1/Button 2","(393.9, 98.7)","(56.8, 22.2)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 1/Button 3","(446.4, 374.8)","(47.1, 23.6)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 1/Button 4","(446.4, 354.1)","(47.1, 23.3)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 10/128","(321.3, 239.1)","(550.5, 468.4)",0,0,"","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 10/Button112","(482.2, 398.5)","(28.4, 24.7)",2,0,"AudioSource.Play;guanbi.Click","Image;Button;ButtonSound;guanbi",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 10/Button222","(227.3, 396.5)","(62.8, 33.7)",2,0,"Kaiqi.Click;guanbi.Click","Image;Button;ButtonSound;Kaiqi;guanbi","Canvas/RawImage 1/RawImage/RawImage 9"
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 2/123","(321.3, 239.1)","(550.5, 468.4)",0,0,"","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 2/Button 1","(443.1, 98.7)","(57.2, 22.2)",1,0,"Ziyou1.GoNextScene","Image;Button;ButtonSound;Ziyou1",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 2/Button 2","(394.7, 98.7)","(56.8, 22.2)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 2/Button 3","(345.8, 98.7)","(56.7, 22.2)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 3/124","(321.3, 239.1)","(550.5, 468.4)",0,0,"","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 3/Button 1","(465.3, 382.7)","(25.7, 21.7)",1,0,"Ziyou1.GoNextScene","Image;Button;ButtonSound;Ziyou1",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 4/123","(321.3, 239.1)","(550.5, 468.4)",0,0,"","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 4/Button 1","(442.3, 98.9)","(57.1, 23.0)",1,0,"Ziyou1.GoNextScene","Image;Button;ButtonSound;Ziyou1",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/124","(321.3, 239.1)","(550.5, 468.4)",0,0,"","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 1","(455.5, 389.8)","(24.8, 29.1)",1,0,"Ziyou1.GoNextScene","Image;Button;ButtonSound;Ziyou1",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 10","(331.4, 388.1)","(42.0, 35.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 13","(372.1, 388.1)","(42.2, 35.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 14","(197.3, 388.2)","(63.7, 35.5)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 16","(154.2, 390.2)","(30.2, 40.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 17","(515.2, 390.4)","(25.2, 29.3)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 18","(475.6, 390.4)","(24.8, 29.3)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 19","(288.9, 388.1)","(41.5, 35.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 2","(308.4, 348.1)","(24.5, 17.6)",2,0,"guanbi.Click;Kaiqi.Click","Image;Button;Kaiqi;guanbi;ButtonSound","Canvas/RawImage 1/RawImage/RawImage 6"
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 20","(495.6, 390.4)","(24.9, 29.3)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
Ziyou1,False,True,"Canvas/RawImage 1/RawImage/RawImage 5/Button 21","(128.5, 390.2)","(30.3, 40.1)",1,0,"AudioSource.Play","Image;Button;ButtonSound",""
