## SteelFactory
spawn=(170.67, -65.34, 85.33)
rotation=(0.00000, 0.79270, 0.00000, 0.60961)
cameraForward=(0.97, 0.00, -0.26)
renderers=218
Nearby renderers:
- 1/rdmobj159 distance=0.00 center=(142.74, -53.63, 80.00) size=(80.00, 26.00, 48.00) materials=SteelStructure [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelStructure.mat; shader=Standard; texture=SteelStructurePattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelStructurePattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj187 distance=22.08 center=(192.74, -62.63, 80.00) size=(0.00, 8.00, 16.00) materials=SteelRustAccent [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustAccent.mat; shader=Standard; texture=SteelRustPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj189 distance=22.11 center=(205.74, -66.63, 80.00) size=(26.00, 0.00, 16.00) materials=SteelDeck [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeck.mat; shader=Standard; texture=SteelDeckPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeckPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj200 distance=22.23 center=(190.74, -53.63, 104.00) size=(16.00, 26.00, 0.00) materials=SteelRustAccent [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustAccent.mat; shader=Standard; texture=SteelRustPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj188 distance=22.24 center=(219.74, -59.63, 88.00) size=(54.00, 14.00, 0.00) materials=SteelRustAccent [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustAccent.mat; shader=Standard; texture=SteelRustPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj197 distance=23.91 center=(218.74, -52.63, 89.00) size=(56.00, 0.00, 2.00) materials=SteelDeck [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeck.mat; shader=Standard; texture=SteelDeckPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeckPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj178 distance=24.10 center=(191.74, -62.63, 72.00) size=(2.00, 8.00, 0.00) materials=SteelRustAccent [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustAccent.mat; shader=Standard; texture=SteelRustPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj160 distance=24.72 center=(142.74, -40.63, 80.00) size=(80.00, 0.00, 48.00) materials=SteelDeck [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeck.mat; shader=Standard; texture=SteelDeckPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeckPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj168 distance=27.51 center=(186.74, -40.63, 80.00) size=(8.00, 0.00, 48.00) materials=SteelDeck [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeck.mat; shader=Standard; texture=SteelDeckPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeckPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj204 distance=28.46 center=(202.74, -59.13, 90.00) size=(8.00, 13.00, 0.00) materials=SteelRustAccent [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustAccent.mat; shader=Standard; texture=SteelRustPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj206 distance=28.46 center=(200.74, -65.13, 97.00) size=(4.00, 1.00, 14.00) materials=SteelDeck [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeck.mat; shader=Standard; texture=SteelDeckPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeckPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj201 distance=28.46 center=(198.74, -66.13, 97.00) size=(0.00, 1.00, 14.00) materials=SteelDeck [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeck.mat; shader=Standard; texture=SteelDeckPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeckPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj172 distance=31.72 center=(186.74, -57.63, 56.00) size=(8.00, 18.00, 0.00) materials=SteelRustAccent [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustAccent.mat; shader=Standard; texture=SteelRustPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj175 distance=31.84 center=(218.74, -40.63, 80.00) size=(56.00, 0.00, 48.00) materials=SteelDeck [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeck.mat; shader=Standard; texture=SteelDeckPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeckPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj203 distance=32.42 center=(204.74, -64.13, 97.00) size=(4.00, 1.00, 14.00) materials=SteelDeck [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeck.mat; shader=Standard; texture=SteelDeckPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeckPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj158 distance=33.65 center=(142.74, -46.63, 56.06) size=(80.00, 4.00, 0.13) materials=SteelWall [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelWall.mat; shader=Standard; texture=SteelWallPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj205 distance=33.71 center=(202.74, -53.13, 104.00) size=(8.00, 25.00, 0.00) materials=SteelRustAccent [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustAccent.mat; shader=Standard; texture=SteelRustPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj176 distance=35.55 center=(194.74, -53.63, 56.00) size=(8.00, 26.00, 0.00) materials=SteelRustAccent [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustAccent.mat; shader=Standard; texture=SteelRustPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj171 distance=35.75 center=(186.74, -48.63, 56.06) size=(8.00, 0.00, 0.13) materials=SteelDeck [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeck.mat; shader=Standard; texture=SteelDeckPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeckPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 1/rdmobj179 distance=35.75 center=(186.74, -46.63, 56.13) size=(8.00, 4.00, 0.00) materials=SteelRustAccent [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustAccent.mat; shader=Standard; texture=SteelRustPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
Material groups:
- count=120 SteelRustAccent [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustAccent.mat; shader=Standard; texture=SteelRustPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelRustPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- count=94 SteelDeck [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeck.mat; shader=Standard; texture=SteelDeckPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelDeckPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- count=2 SteelWall [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelWall.mat; shader=Standard; texture=SteelWallPattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- count=2 SteelStructure [asset=Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelStructure.mat; shader=Standard; texture=SteelStructurePattern@Assets/RecoveredMaps/SteelFactory/Material/Recovery/SteelStructurePattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]

## IceFireMaze
spawn=(95.22, 112.27, -1959.83)
rotation=(0.00000, -0.68733, 0.00000, 0.72635)
cameraForward=(-1.00, 0.00, 0.06)
renderers=3253
Nearby renderers:
- Plane2 distance=1.27 center=(368.00, 111.00, -2043.10) size=(800.00, 0.00, 600.00) materials=IceFireGround [asset=Assets/PlayableMaps/Generated/IceFireMaze/IceFireGround.mat; shader=Standard; texture=IceFireGroundPattern@Assets/PlayableMaps/Generated/IceFireMaze/IceFireGroundPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- Cube (276) distance=6.00 center=(79.23, 112.50, -1958.95) size=(20.00, 3.00, 1.00) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 墙壁 (247) distance=7.09 center=(87.89, 113.50, -1950.43) size=(1.00, 5.00, 15.00) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- Cube (275) distance=7.78 center=(84.20, 112.50, -1968.05) size=(20.00, 3.00, 1.00) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- Cube (203) distance=8.74 center=(91.20, 112.50, -1971.50) size=(6.77, 3.00, 5.91) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- Cube (205) distance=8.76 center=(106.96, 112.50, -1948.65) size=(8.37, 3.00, 13.49) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- Cube (200) distance=10.90 center=(106.60, 112.50, -1970.20) size=(6.77, 3.00, 5.91) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- Cube (201) distance=12.33 center=(100.90, 112.50, -1974.90) size=(6.77, 3.00, 5.91) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 墙壁 (245) distance=13.88 center=(90.00, 113.50, -1978.20) size=(5.13, 5.00, 9.49) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- Cube (273) distance=15.49 center=(113.00, 112.50, -1974.00) size=(8.37, 3.00, 13.49) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- Cube (198) distance=15.61 center=(115.31, 112.50, -1951.93) size=(9.84, 3.00, 8.48) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- Cube (204) distance=15.83 center=(96.35, 112.50, -1943.51) size=(15.00, 3.00, 1.00) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- Cube (202) distance=17.01 center=(95.10, 112.50, -1979.80) size=(6.77, 3.00, 5.91) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- Cube (271) distance=19.33 center=(118.60, 112.50, -1968.90) size=(8.37, 3.00, 13.49) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- Cube (199) distance=19.59 center=(118.20, 112.50, -1960.50) size=(6.77, 3.00, 5.91) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- Cube (277) distance=21.47 center=(69.19, 112.50, -1968.05) size=(12.00, 3.00, 1.00) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- Cube (283) distance=25.73 center=(76.81, 112.50, -1935.99) size=(6.77, 3.00, 5.91) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- Cube (196) distance=25.76 center=(127.00, 112.50, -1953.10) size=(12.13, 3.00, 10.41) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- Cube (278) distance=25.92 center=(63.81, 112.50, -1958.91) size=(11.00, 3.00, 1.00) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- Cube (284) distance=26.32 center=(71.00, 112.50, -1940.80) size=(6.77, 3.00, 5.91) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- Cube (197) distance=26.82 center=(125.60, 112.50, -1943.30) size=(12.13, 3.00, 10.41) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- Cube (310) distance=27.31 center=(70.76, 112.50, -1981.22) size=(5.87, 3.00, 9.16) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- Cube (309) distance=27.71 center=(65.84, 112.50, -1972.69) size=(5.87, 3.00, 9.16) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- Cube (272) distance=28.17 center=(119.90, 112.50, -1985.90) size=(8.37, 3.00, 13.49) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- Cube (285) distance=28.94 center=(65.10, 112.50, -1945.80) size=(6.77, 3.00, 5.91) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- Cube (270) distance=29.72 center=(125.50, 112.50, -1980.80) size=(8.37, 3.00, 13.49) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 墙壁 (255) distance=29.76 center=(77.80, 113.50, -1929.30) size=(5.13, 5.00, 9.49) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- 墙壁 (256) distance=33.38 center=(72.80, 113.50, -1997.50) size=(1.00, 5.00, 25.00) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- Cube (286) distance=33.38 center=(59.00, 112.50, -1950.90) size=(6.77, 3.00, 5.91) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- Cube (308) distance=33.68 center=(61.60, 112.50, -1978.30) size=(5.87, 3.00, 9.16) materials=FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
Material groups:
- count=600 Butt [asset=Assets/RecoveredMaps/IceFireMaze/Material/Butt.mat; shader=Standard; texture=<none>; color=RGBA(0.251, 0.204, 0.125, 1.000)]
- count=600 Cartridge [asset=Assets/RecoveredMaps/IceFireMaze/Material/Cartridge.mat; shader=Standard; texture=<none>; color=RGBA(0.290, 0.259, 0.204, 1.000)]
- count=300 Insignia [asset=Assets/RecoveredMaps/IceFireMaze/Material/Insignia.mat; shader=Standard; texture=<none>; color=RGBA(0.290, 0.259, 0.204, 1.000)]
- count=265 shicai [asset=Assets/RecoveredMaps/IceFireMaze/Material/shicai.mat; shader=Standard; texture=<none>; color=RGBA(0.588, 0.588, 0.588, 1.000)]
- count=240 Default Steel [asset=Assets/RecoveredMaps/IceFireMaze/Material/Default Steel.mat; shader=Standard; texture=<none>; color=RGBA(0.251, 0.267, 0.251, 1.000)]
- count=200 Default Aluminimum [asset=Assets/RecoveredMaps/IceFireMaze/Material/Default Aluminimum.mat; shader=Standard; texture=<none>; color=RGBA(0.204, 0.204, 0.204, 1.000)]
- count=171 6 [asset=Assets/RecoveredMaps/IceFireMaze/Material/6.mat; shader=Mobile/Unlit (Supports Lightmap); texture=6_0@Assets/RecoveredMaps/IceFireMaze/Texture2D/6_0.png; color=n/a]
- count=161 5 [asset=Assets/RecoveredMaps/IceFireMaze/Material/5.mat; shader=Mobile/Unlit (Supports Lightmap); texture=5_1@Assets/RecoveredMaps/IceFireMaze/Texture2D/5_1.png; color=n/a]
- count=116 Archmodels_115_038_concrete_color [asset=Assets/RecoveredMaps/IceFireMaze/Material/Archmodels_115_038_concrete_color.mat; shader=Mobile/Unlit (Supports Lightmap); texture=Archmodels_115_038_concrete_color@Assets/RecoveredMaps/IceFireMaze/Texture2D/Archmodels_115_038_concrete_color.png; color=n/a]
- count=105 lambert3 [asset=Assets/RecoveredMaps/IceFireMaze/Material/lambert3.mat; shader=Standard; texture=<none>; color=RGBA(0.500, 0.500, 0.500, 1.000)]
- count=90 DefaultAluminium [asset=Assets/RecoveredMaps/IceFireMaze/Material/DefaultAluminium.mat; shader=Standard; texture=<none>; color=RGBA(0.204, 0.204, 0.204, 1.000)]
- count=87 stone3 [asset=Assets/RecoveredMaps/IceFireMaze/Material/stone3.mat; shader=Mobile/Unlit (Supports Lightmap); texture=stone3@Assets/RecoveredMaps/IceFireMaze/Texture2D/stone3.png; color=n/a]
- count=83 FireMazeWall [asset=Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWall.mat; shader=Standard; texture=FireMazeWallPattern@Assets/PlayableMaps/Generated/IceFireMaze/FireMazeWallPattern.asset; color=RGBA(1.000, 1.000, 1.000, 1.000)]
- count=80 MyMtl_01 [asset=Assets/RecoveredMaps/IceFireMaze/Material/MyMtl_01.mat; shader=Standard; texture=<none>; color=RGBA(0.588, 0.588, 0.588, 1.000)]
- count=74 03 - Default [asset=Assets/RecoveredMaps/IceFireMaze/Material/03 - Default.mat; shader=Standard; texture=<none>; color=RGBA(0.200, 0.200, 0.200, 1.000)]
