scene,root,components,renderers,colliders,children
"Assets/RecoveredMaps/BiochemicalTown/Scenes/20160409.unity","AddBlood","Transform;MeshFilter;BoxCollider;MeshRenderer;Animator",1,1,1
"Assets/RecoveredMaps/BiochemicalTown/Scenes/20160409.unity","AppeatWC","Transform",0,0,1
"Assets/RecoveredMaps/BiochemicalTown/Scenes/20160409.unity","Canvas","RectTransform;Canvas;CanvasScaler;GraphicRaycaster",0,0,4
"Assets/RecoveredMaps/ClassicConstructionSite/Scenes/Scenegd.unity","Quad (7)","Transform;MeshFilter;MeshRenderer;MeshCollider",1,1,1
"Assets/RecoveredMaps/ClassicConstructionSite/Scenes/Scenegd.unity","Cube (5)","Transform;MeshFilter;MeshRenderer;BoxCollider",1,1,1
"Assets/RecoveredMaps/ClassicConstructionSite/Scenes/Scenegd.unity","Cylinder (19)","Transform;MeshFilter;MeshRenderer;CapsuleCollider",1,1,1
"Assets/RecoveredMaps/ClassicConstructionSite/Scenes/Scenegd.unity","工字钢 (10)","Transform;MeshFilter;MeshRenderer;BoxCollider",3,3,3
"Assets/RecoveredMaps/ClassicConstructionSite/Scenes/Scenegd.unity","Cube (27)","Transform;MeshFilter;MeshRenderer;BoxCollider",1,1,1
"Assets/RecoveredMaps/ClassicConstructionSite/Scenes/Scenegd.unity","a烈火右房","Transform;MeshFilter;MeshRenderer;MeshCollider",1,1,1
"Assets/RecoveredMaps/ClassicConstructionSite/Scenes/Scenegd.unity","Cylinder (1)","Transform;MeshFilter;MeshRenderer;CapsuleCollider",1,1,1
"Assets/RecoveredMaps/ClassicConstructionSite/Scenes/Scenegd.unity","SimplePlayer (Missing Prefab)","Transform",0,0,1
"Assets/RecoveredMaps/ClassicConstructionSite/Scenes/Scenegd.unity","Cube (31)","Transform;MeshFilter;MeshRenderer;BoxCollider",1,1,1
"Assets/RecoveredMaps/ClassicConstructionSite/Scenes/Scenegd.unity","雷霆右房","Transform;MeshFilter;MeshRenderer;MeshCollider",1,1,1
